flight,date,start_time,end_time,wing_name,site_name,launch_name,launch_altitude,launch_orientation,landing_location,landing_altitude,vertical_drop,wind_speed,wind_direction,duration_hours,duration_minutes,total_airtime,max_altitude,altitude_gain,xc_miles,"comments",,,
123,2/17/16,12:30 PM,,Gin Atlas XS,"Colima, MX",La Cumbre,2535,SW,El piano,1735,800,5-7,SW,,39,37.25,3428,893,1.3,"Still rough on launch. Caught good thermals to almost 900' above launch. Wanted to get higher before trying for the soccer field, but sunk out. Caught a couple more thermals but couldn't regain altitude. Really smooth moderate wind landing at the piano, right next to Adam. ",,,
124,2/18/16,12:40 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6852,E,Brambles/Mesquite/Tecojote,,6852,,NE,,32,37.78,6881,28,1.9,"Maintained altitude for a while working the thermals down low. Ventured out over the fields to find a stronger one but hit a bunch of sink instead. Tried to work some small thermals when I was way too low. Realized I want going to be able to clear the first power lines and it didn't seem like I'd be able to reach the alternate LZ, so I had to pick a spot in a relatively clear area. Had light headwind and small thermals kept lifting me up, and I also realized later that the terrain was sloping downward so I was probably going to overshot the clearing and run into a stable, so I made a last second 180 turn. Was almost through the turn when I hit the ground, just a few feet from a big rock, and then my canopy draped over the top of two mesquite thorn trees. Somehow I only got a small scratch on my ankle during impact and a couple on my hands while retrieving my wing and only a tiny, less than a quarter inch tear at the trailing edge of my wing. Miguel and Jose arrived with a hand saw and helped me finish pulling my wing out of the thorns. Bought everyone lunch in Sayula.",,,
125,2/19/16,11:35 AM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6833,E,Primary LZ,4365,2468,2-3,ENE,,23,38.17,6872,39,2.8,"Smooth takeoff on second attempt. Thermals were kinda rough, barely sufficient to maintain altitude. Hoped to catch some thermals over the fields, but it was super smooth instead. Enjoyed the view and checked out yesterday's landing area as I coasted down to the LZ. Super smooth landing, ran the wing all the way to the corner. Had a nice conversation with a worker who saw me land and came over to ask about it. ",,,
126,2/19/16,3:02 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6933,E,Primary LZ,4365,2568,2-3,ENE,,55,39.08,8962,2029,2.8,"Great flight! Hit lots of sink until I was past the knobs. Caught one good thermal that took me all the way up to 8900'. Couldn't get high enough to decide to go past the ridge. Lots of sink as I went back out to where Adam was riding a thermal going up fast. Rode it up to about 7000' but couldn't find another thermal and I noticed there was a strong headwind going towards the LZ, so I started that way. Got good video from above of Adam landing as I coasted down in smooth wind. Gusty and thermic close to the ground, but had a really smooth landing and kitted to the corner. A truck full of workers cheered me on as I let the wing down. Oh yeah.",,,
127,2/20/16,12:34 PM,,Gin Atlas XS,"Tapalpa, MX",Gravidad Zero,6902,E,Primary LZ,4365,2537,1-2,ENE,,16,39.35,6902,0,2.8,Great sledder to wrap up Mexico. Nice controlled low wind launch. Couldn't quite stay in the thermals so I coasted in smooth air down to the piano. Watched Adam land then touched down and kited over to the corner. Hitched a ride with Alfonso back to Guadalajara.,,,
128,3/18/16,3:50 PM,4:25 PM,Gin Atlas XS,Mussel Rock,Walker,,,Saddle,,0,10-12,W,,35,39.93,,,,Easy up from Walker. Super smooth air. Flew up to the stables and south past the death bowl. Lots of S turns behind the gravel pit before landing in the saddle. ,,,
129,3/18/16,4:50 PM,5:25 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Saddle,,0,12-14,W,,35,40.52,,,,Good launch from Lemmings. Super smooth and lifty. Nice set up and landing with controlled kiting in the saddle. ,,,
130,3/18/16,5:50 PM,6:25 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Gravel pit,,0,12-14,W,,35,41.10,,,,"Kited up from the saddle. Practiced big ears a couple times, caught it on video. Did a really nice touch and go on Lemmings. Set up landing really well in the gravel pit. Gorgeous day!",,,
131,3/29/16,5:00 PM,5:01 PM,Gin Atlas XS,Mussel Rock,Walker,,,Saddle,,0,5-8,WNW,,1,41.12,,,,"Lots of low-wind kiting practice in the gravel pit, then a sledder from Walker. ",,,
132,3/29/16,5:30 PM,5:31 PM,Gin Atlas XS,Mussel Rock,Walker,,,Saddle,,0,5-8,WNW,,1,41.13,,,,Another sledder from Walker.,,,
133,4/2/16,11:10 AM,11:12 AM,Gin Atlas XS,Ed Levin,600',,,LZ,,0,,,,2,41.17,,,,Joe in town. Spot landing competition. Overshot landing by several yards.,,,
134,4/2/16,1:00 PM,1:02 PM,Gin Atlas XS,Ed Levin,600',,,,,0,,,,2,41.20,,,,Hiked up to 600'. Landed short and kited over to bulls eye.,,,
135,4/2/16,6:20 PM,6:50 PM,Gin Atlas XS,Mussel Rock,Walker,,,Gravel pit,,0,,,,30,41.70,,,,Good flight while Joe waited by the water. Got pretty cold and foggy so I landed early and practiced some kiting.,,,
136,4/21/16,7:00 PM,7:40 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Beach,,0,12-15,SSW,,40,42.37,,,,Smooth soaring over Cheetah. Attempted top landing a couple times but came in too high. Gave up and landed on the beach.,,,
137,4/23/16,12:05 PM,12:30 PM,Gin Atlas XS,Mussel Rock,Walker,,,Lemmings,,0,10-12,W,,25,42.78,,,,"Smooth launch, good soaring past the stables. Perfect spot landing at lemmings.",,,
138,4/23/16,1:10 PM,2:00 PM,Gin Atlas XS,Mussel Rock,Walker,,,Gravel pit,,0,13-17,WNW,,50,43.62,,,,"Good kiting practice at lemmings. Rough aborted launches before taking off at Walker. Super lifty. Got way up, good views of SFO and GG Bridge. Had to use big ears to cone down. Good spot landing in the gravel pit.",,,
139,4/30/16,8:42 AM,8:45 AM,Gin Atlas XS,"Haleakala, Maui",Echoes,4600,NE,lz,3500,1100,1,-,,3,43.67,,,,"Good launch, smooth landing. Nice quick sledder in paradise.",,0.4666666667,37.2
140,5/1/16,8:20 AM,8:30 AM,Gin Atlas XS,"Haleakala, Maui",Ferns,6500,NE,lz,3500,3000,0,-,,10,43.83,,,,"Monica went tandem with Dexter. No wind at launch, barely cleared the trees. Pretty thick clouds, had to pull big ears to stay underneath them. Caught a good shot of my shadow surrounded by a rainbow (glory). Good landing just past the mowed grass.",,,
141,5/1/16,8:55 AM,9:00 AM,Gin Atlas XS,"Haleakala, Maui",Echoes,4600,NE,lz,3500,1100,1,,,5,43.92,,,,Good launch. Good lift. Nice landing just past the mowed grass.,,,
142,5/1/16,9:24 AM,9:30 AM,Gin Atlas XS,"Haleakala, Maui",Echoes,4600,NE,lz,3500,1100,1,,,6,44.02,,,,Smooth launch. Pretty foggy. Caught some good thermals and stayed up pretty good. Synchronized thermaling a bit with Sam the kitesurfer. Smooth landing in the mowed grass.,,,
143,5/1/16,8:56 AM,9:00 AM,Gin Atlas XS,"Haleakala, Maui",Echoes,4600,NE,lz,3500,1100,1,,,4,44.08,,,,"Smooth launch. Overshot landing a bit, but landed smooth.",,,
144,5/3/16,5:00 PM,5:35 PM,Gin Atlas XS,Mussel Rock,Coyote,,,Gravel pit/saddle,,0,,,,35,44.67,,,,"Second to launch on a light day. Wind was forecast for 12 mph W, but was SW at launch, so I launched from Coyote with a guy who was bicycling to Alaska from Florida with a super lightweight paraglider. Worked my way up soaring between Walker and Coyote until I had enough altitude to get to the cliffs and soar. Cold, decided to land to put on a jacket. No-wind at LZ. Landed somewhere between the saddle and the gravel pit. Might have laid my wing down in poison oak at launch. :/ ",,,
145,5/3/16,6:40 PM,7:00 PM,Gin Atlas XS,Mussel Rock,Coyote,,,Gravel pit,,0,,,,20,45.00,,,,"Smooth launch from Coyote. Pretty dense fog just below the cliff level, so tried to stay right below it. 2nd jacket barely kept me warm enough. Really smooth landing in the gravel pit. Kited for a while in light wind before packing it up.",,,
146,5/7/16,,,Gin Atlas XS,Mussel Rock,Cheetah,,,Beach,,0,10,SSW,,26,45.43,,,1,"First costal XC flight! Flew to Chit Chat Cafe and back to Cheetah. Ridge soared the cliffs south of Cheetah for a while, practicing stabilizing a pendulum with just weight shift after the turn. Flew back to the cafe and sunk out to the beach. Joel have me a ride back to Cheetah.",,,
147,5/7/16,,,Gin Atlas XS,Mussel Rock,Cheetah,,,Beach,,0,8,SSW,,17,45.72,,,,"Smooth launch, soared for a bit before sinking out and beach landing below Cheetah. https://youtu.be/JuHvqLU_ppM",,,
148,5/8/16,2:05 PM,2:50 PM,Gin Atlas XS,Mussel Rock,Walker,,,Lemmings,,0,8-9,W,,45,46.47,,,,Kiting practice. Kited up to the Walker perch and flew ask the way to Funston. Really smooth and lifty. Great spot landing at Lemmings.,,,
149,5/8/16,3:20 PM,3:47 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,7-8,WNW,,27,46.92,,,,Good launch from Lemmings. Worked my way up in the bowl until I got above the cliffs. Skimmed by Lemmings and did it again. Landed just a bit short and kited to Lemmings.,,,
150,5/8/16,3:55 PM,4:13 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,7-8,WNW,,18,47.22,,,,Another launch from Lemmings. Good kiting before a smooth launch. Worked my way up then practiced some light wingovers before landing again at Lemmings.,,,
151,5/8/16,4:40 PM,5:00 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,7-8,WNW,,20,47.55,,,,Keith got vieo of takeoff and touch and go at Lemmings. Practiced S-turns getting the feel for wingover timing.,,,
152,5/8/16,5:00 PM,5:07 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings oak,,0,7-8,WNW,,7,47.67,,,,Perfect spot landing at Lemmings.,,,
153,5/8/16,5:20 PM,5:48 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,8-10,WNW,,28,48.13,,,,Great flight. More practice getting the feel for wingover timing. ,,,
154,5/8/16,5:58 PM,6:07 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,8-10,WNW,,9,48.28,,,,,,,
155,5/8/16,6:07 PM,6:17 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,8-10,WNW,,10,48.45,,,,Touch and go at Lemmings,,,
156,5/8/16,6:25 PM,6:32 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,7,48.57,,,,,,,
157,5/8/16,6:36 PM,6:41 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,5,48.65,,,,,,,
158,5/8/16,6:55 PM,7:01 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,6,48.75,,,,,,,
159,5/8/16,7:01 PM,7:06 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,5,48.83,,,,,,,
160,5/8/16,7:06 PM,7:24 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Gravel pit.,,0,,,,18,49.13,,,,"Touch and go at Lemmings, then got way up high and took some great pictures. Smooth spot landing in the gravel pit.",,,
161,5/9/16,6:44 PM,7:39 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Cheetah,,0,10-12,WSW,,55,50.05,,,,"Smooth takeoff from Cheetah. Flew north, caught lift over Walker and the big cliffs. Came back to Cheetah and practiced setting up top landing for about a half hour before top landing behind the death bowl. :/",,,
162,5/10/16,4:40 PM,4:55 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Saddle,,0,10,SW,,15,50.30,,,,,,,
163,5/10/16,5:53 PM,6:05 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,10,SW,,12,50.50,,,,,,,
164,5/10/16,6:30 PM,6:45 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Chit Chat,,0,10,WSW,,15,50.75,,,1.5,XC from Lemmings to a safe top landing at Chit Chat.,,,
165,5/10/16,7:10 PM,7:25 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Cheetah,,0,9,SW,,15,51.00,,,1,"XC from Chit Chat. Light wind, but enough to stay up and get back to Cheetah. Sketchy top landing. Happy for soft ice plant.",,,
166,5/11/16,5:35 PM,6:00 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Chit Chat,,0,8-10,WSW,,25,51.42,,,1,XC to Chit Chat from Cheetah. Top landed and grabbed a chai latte at the cafe. ,,,
167,5/11/16,6:25 PM,6:40 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Cheetah,,0,8,WSW,,15,51.67,,,1,XC from Chit Chat back for a top landing at Cheetah. Landed right on the carpet where I had launched. :),,,
168,5/12/16,3:37 PM,3:58 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Lemmings,,0,8-10,W,,21,52.02,,,,Smooth flight from Cheetah to Lemmings. ,,,
169,5/12/16,4:02 PM,4:34 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Chit Chat,,0,8-10,W,,32,52.55,,,1.5,XC from Lemmings to Chit Chat after first flying north past the stables. Got a lox bagel after a good top landing.,,,
170,5/12/16,5:10 PM,5:22 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Lemmings,,0,8-10,W,,12,52.75,,,1.5,Good launch from Chit Chat after chatting with some interested bystanders. Flew north for a good spot landing at Lemmings. ,,,
171,5/12/16,5:30 PM,5:50 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,8-10,W,,20,53.08,,,,Good flight from Lemmings. Lots of lift in front of Coyote. ,,,
172,5/12/16,6:10 PM,6:22 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,12,53.28,,,,Took a while to figure out the approach to land at Lemmings. ,,,
173,5/12/16,6:22 PM,6:26 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Saddle,,0,,,,4,53.35,,,,"Landed in the saddle, then kited smoothly up to Lemmings for a smooth launch. Landed in the saddle again and kited again back up to Lemmings. ",,,
174,5/12/16,6:28 PM,6:36 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,8,53.48,,,,Good launch from Lemmings. Worked my way up in front of the north bowl then took a couple tries to land back at Lemmings.,,,
175,5/12/16,6:40 PM,7:05 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Cheetah,,0,10-15,WSW,,25,53.90,,,,"Good launch from Lemmings. Got lots of altitude in front of Coyote, then flew south to Chit Chat, then back to Cheetah for a good top spot landing. I felt the 17mph gust shown on KCADALYC1 just after I landed at 7:05 and thought, ""wow, glad I landed already.""",,,
176,5/13/16,2:16 PM,2:17 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Hill below saddle,,0,,,,1,53.92,,,,Sunk out trying to get to lemmings from tomcat. Skimmed my butt on the road before landing in the ice plant.,,,
177,5/13/16,2:21 PM,3:27 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,10,W,1,6,55.02,,,,"Flew north past Fort Funston then flew south all the way past the apartments almost to Chit Chat. The crane was out working, so I couldn't pass. Doubled back to Mussel Rock, got up above the cliffs again, practiced S turns to come down. Skimmed over Lemmings twice before a successful landing. ",,,
178,5/13/16,4:08 PM,4:30 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,14-16,WNW,,22,55.38,,,,,,,
179,5/13/16,4:55 PM,5:10 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,14-16,WNW,,15,55.63,,,,,,,
180,5/13/16,5:25 PM,5:45 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Chit Chat,,0,14-16,W,,20,55.97,,,,,,,
181,5/13/16,6:20 PM,6:50 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Gravel pit.,,0,14-16,W,,30,56.47,,,,,,,
182,5/13/16,7:00 PM,7:20 PM,Gin Atlas XS,Mussel Rock,Gravel pit.,,,Lemmings,,0,10-12,W,,20,56.80,,,,,,,
183,5/13/16,7:20 PM,7:35 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Gravel pit.,,0,10-12,W,,15,57.05,,,,,,,
184,5/14/16,5:30 PM,5:33 PM,Gin Atlas XS,Mussel Rock,Coyote,,,Road way below Lemmings,,0,,,,3,57.10,,,,,,,
185,5/14/16,6:23 PM,6:41 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Beach,,0,,,,18,57.40,,,,,,,
186,5/17/16,5:56 PM,5:57 PM,Gin Atlas XS,Mussel Rock,Coyote,,,Saddle,,0,,,,1,57.42,,,,,,,
187,5/17/16,7:00 PM,7:02 PM,Gin Atlas XS,Mussel Rock,Coyote,,,Saddle,,0,,,,2,57.45,,,,,,,
188,5/22/16,3:10 PM,3:37 PM,Gin Atlas XS,Mussel Rock,Walker,,,Lemmings,,0,8-10,W,,27,57.90,,,,Somewhat hasty launch. Flew north almost to Funston. Landed just a bit short of Lemmings and kited the rest of the way.,,,
189,5/22/16,4:10 PM,4:25 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Gravel pit,,0,10-12,W,,15,58.15,,,,,,,
190,5/22/16,5:40 PM,5:42 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Saddle,,0,6-11,,,2,58.18,,,,,,,
191,5/22/16,5:45 PM,6:06 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,9-12,,,21,58.53,,,,,,,
192,5/22/16,6:15 PM,6:28 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,7-11,,,13,58.75,,,,,,,
193,5/22/16,6:45 PM,6:55 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,7-11,,,10,58.92,,,,Nice smooth launch from above Lemmings after kiting up to the perch. Barely able to stay up. Good spot landing.,,,
194,5/22/16,7:10 PM,7:50 PM,Gin Atlas XS,Mussel Rock,Walker,,,Fence above Tomcat,,0,6-10,,,40,59.58,,,,"Winds died down and most pilots landed, but I launched from Walker, stayed up and enjoyed having the sky to myself. Watched someone trying to hike up the bowl below the church. Kept an eye on the person, wondering if I should call for help, until they backtracked and found the trail. Good spot landing by the fence above Tomcat.",,,
195,6/5/16,3:01 PM,3:05 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Beach,,0,6-8,WSW,,4,59.65,,,,,,,
196,6/5/16,4:23 PM,4:43 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Chit Chat,,0,,WSW,,20,59.98,,,,,,,
197,6/5/16,5:03 PM,5:23 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Chit Chat,,0,,WSW,,20,60.32,,,,,,,
198,6/5/16,5:40 PM,6:20 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Chit Chat,,0,10-13,WSW,,40,60.98,,,,"Brakes were wrapped in lines on takeoff. Steered with brake line until I had enough altitude to sort it out. Good flight soaring around Cheetah for a bit, then back to Chit Chat for a good top spot landing.",,,
199,6/5/16,6:45 PM,6:55 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Chit Chat,,0,,WSW,,10,61.15,,,,Soared around Chit Chat. Lots of fun kiting on landing. ,,,
200,6/5/16,6:05 PM,6:12 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Chit Chat,,0,,WSW,,7,61.27,,,,,,,
201,6/5/16,7:20 PM,7:55 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,"Top, south of Cheetah",,0,12-15,WSW,,35,61.85,,,,Fog just above cliff level. Several attempts to top land Cheetah. Too strong. Top landed in rotor zone on the dunes south of the canyon. Laid the wing down in poison oak again. Doh!,,,
202,6/6/16,4:55 PM,5:16 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Chit Chat,,0,10-14,WSW,,21,62.20,,,,"Good launch from Cheetah. Flew to Chit Chat and back, then back for a good high-wind top landing at Chit Chat. ",,,
203,6/6/16,5:55 PM,6:15 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Cheetah,,0,,,,20,62.53,,,,Good top landing at Cheetah. ,,,
204,6/6/16,6:35 PM,7:06 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Chit Chat,,0,,,,31,63.05,,,,,,,
205,6/6/16,7:12 PM,7:37 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Gravel Pit,,0,12-16,SW,,25,63.47,,,,"Too strong to top land at Cheetah. Crossed over, flew around the big cliffs past Avalon Canyon for a bit. Got sucked up into the fog by the church. Pulled big ears to come down under the fog. Had to use speed bar to get back to the gravel pit. ",,,
206,6/7/16,5:53 PM,6:25 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Chit Chat,,0,10-15,WSW,,32,64.00,,,,,,,
207,6/7/16,7:07 PM,7:32 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Cheetah,,0,,,,25,64.42,,,,,,,
208,6/7/16,7:47 PM,8:00 PM,Gin Atlas XS,Mussel Rock,Cheetah,,,Cheetah,,0,12-15,WSW,,13,64.63,,,,Strong wind at launch on the perch just south of where I usually do. Practiced top-landing approaches at Cheetah and finished with a smooth landing. ,,,
209,6/8/16,5:25 PM,5:49 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Lemmings,,0,11-14,W,,24,65.03,,,,,,,
210,6/8/16,6:18 PM,6:25 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,7,65.15,,,,,,,
211,6/8/16,6:25 PM,6:50 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,25,65.57,,,,Touch and go at Lemmings.,,,
212,6/8/16,6:50 PM,6:58 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,8,65.70,,,,Touch and go at Lemmings.,,,
213,6/8/16,6:58 PM,7:02 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Lemmings,,0,,,,4,65.77,,,,Touch and go at Lemmings.,,,
214,6/8/16,7:02 PM,7:32 PM,Gin Atlas XS,Mussel Rock,Lemmings,,,Tomcat,,0,,,,30,66.27,,,,Touch and go at Lemmings. Finally nailed the top landing at Tomcat.,,,
215,6/8/16,7:50 PM,8:05 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Gravel Pit,,0,,,,15,66.52,,,,"Rough launch, but kept it together and made it work. Last one to land as the fog started to get lower. ",,,
216,6/12/16,11:54 AM,12:16 PM,Gin Atlas XS,Potato Hill,Astroturf,3300,NE,LZ,1700,1600,15,NE,,22,66.88,3525,225,1.3,"Met Gever by the road at the LZ. He gave me a ride up to launch and gave me a good site intro. Rather windy, made it difficult to make it to the LZ. Maintained altitude thermaling for a bit. Was difficult to stay in the thermals because I would drift so much in the turns. Felt somewhat rowdy, though other pilots said it felt pretty smooth considering the wind. Came up short on the landing approach, realized there was a fence between me and my target and I was loosing altitude fast going into the wind. Made a last minute hop across the street for a safe landing by the cars. ",,,
217,6/15/16,4:20 PM,4:40 PM,Gin Atlas XS,Mussel Rock,Gravel Pit,,,Tomcat,,0,8-12,W,,20,67.22,,,,"Took off from Gravel pit! Worked my way up in front of Lemmings, flew a while and top landed at Tomcat.",,,
218,6/15/16,4:40 PM,4:50 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Walker,,0,8-12,W,,10,67.38,,,,First top landing at Walker after touch and go at Tomcat.,,,
219,6/15/16,4:50 PM,4:52 PM,Gin Atlas XS,Mussel Rock,Walker,,,Tomcat,,0,8-12,W,,2,67.42,,,,Touch and go from Walker. Great landing at Tomcat.,,,
220,6/15/16,4:55 PM,5:05 PM,Gin Atlas XS,Mussel Rock,Tomcat,,,Walker,,0,8-12,W,,10,67.58,,,,"From Tomcat, worked my way up then did a good top landing at Walker.",,,
221,6/15/16,5:25 PM,5:50 PM,Gin Atlas XS,Mussel Rock,Walker,,,Chit Chat,,0,9-11,W,,25,68.00,,,,Oleg showed up! Got some pics of him from the air. Flew to Chit Chat and landed for a drink. ,,,
222,6/15/16,6:14 PM,6:28 PM,Gin Atlas XS,Mussel Rock,Chit Chat,,,Lemmings,,0,5-8,W,,14,68.23,,,,"Easy up from Chit Chat. Landed at Lemmings for fun. Too light to kite there, so I hiked up to Walker. ",,,
223,6/15/16,6:40 PM,7:16 PM,Gin Atlas XS,Mussel Rock,Walker,,,Trail below Lemmings,,0,5-8,WSW,,36,68.83,,,,"Tried to land at Tomcat, was sinking out. Couldn't regain altitude in front of Lemmings. Landed on a trail above the road.",,,
224,6/15/16,7:25 PM,7:50 PM,Gin Atlas XS,Mussel Rock,Walker,,,Walker,,0,5-7,SW,,25,69.25,,,,Flew past Fort Funston and back. Flew way out over the water and saw whales breaching below. Good top landing at Walker. ,,,
225,6/15/16,7:50 PM,8:00 PM,Gin Atlas XS,Mussel Rock,Walker,,,Walker,,0,5-7,SW,,10,69.42,,,,Touch and go at Walker. ,,,
